,Size,Recursive Biuld Time,Recursive Search Time,Iterative Biuld Time,Iterative Search Time,No Comparation Recursive Biuld,No Comparation Recursive Search,No Comparation Iterative Biuld,No Comparation Iterative Search,Hits,Miss
0,50,158574,96214,117202,81501,149,50,234,140,41,9
1,100,303394,222664,215911,175093,333,100,613,320,77,23
2,200,701965,460327,481138,383543,1123,200,1564,1076,142,58
3,300,1896756,1957790,1794364,1426959,1349,300,2539,1364,225,75
4,500,2194729,1863772,1460306,1628857,3318,500,5021,3433,361,139
5,750,4167684,2336807,2485276,1813240,4916,750,8295,4820,541,209
6,1000,4609653,3219919,2960449,2882159,6314,1000,11305,6513,795,205
7,1500,7474845,4985762,5256839,3964414,10683,1500,18026,10245,1183,317
8,2000,11373597,7338437,7039403,5927257,13884,2000,25083,13655,1637,363
9,3000,28421113,12990401,15533175,11334291,23982,3000,44062,25252,2048,952
10,5000,30445819,20757482,27076761,16689915,42174,5000,70134,41363,4162,838
11,7500,49284093,35219093,33471724,26243043,73321,7500,116082,72538,5437,2063
12,10000,90565191,50659216,46247018,39607394,90389,10000,173273,88465,8323,1677
13,12500,85673968,64480511,56571517,54107796,109402,12500,204140,113888,9726,2774
14,15000,127679535,75885128,74187940,57142651,130952,15000,243508,129664,12407,2593
15,20000,152784496,108533377,121192522,81313022,204942,20000,362801,202449,14704,5296
16,25000,185725136,134615163,153157656,102822567,238487,25000,427794,239664,16823,8177
17,30000,269899615,162810784,154042977,122627836,293113,30000,538647,306437,23081,6919
18,40000,10824103029,14026955115,4875825884,5313870673,26503460,40000,26789131,34293617,38922,1078
19,50000,66822926385,73639078696,29135176834,28212047343,148981101,50000,149253045,164149039,49119,881
20,75000,480497262559,465407598276,224468186511,205433736378,892367445,75000,892657116,922521258,74285,715
21,100000,1483021140659,1976774893474,735589617031,921316359794,2260889954,100000,2261108231,3323122844,84199,15801
22,125000,2958206275418,3504530166474,1374326007398,1639988234164,4254783025,125000,4254947600,5870610764,107480,17520
23,150000,5001659395455,6567858354289,2225368451005,2666008186477,6873216142,150000,6873371752,9395823765,128481,21519
24,175000,9483123744222,10264448497189,3255031920445,3729988166034,10117683726,175000,10117782734,13585012686,150622,24378
25,200000,12655875630265,14995607487836,5677712067084,3988514869175,13985706804,200000,13985801563,18690167438,171868,28132
26,250000,13643206524611,15320803837620,5852136174896,6460597323725,23597024799,250000,23597078571,29918436197,220899,29101
